"plant","species","plant_no","greenhouse","co2","resprouter","drought_phase","water_potential_mpa","water_potential_midday_log","osmotic_potential_mpa","osmotic_potential_log","transpiration_mean_g_day","transpiration_mean_log","whole_plant_conductance","whole_plant_conductance_log","whole_plant_conductivity","whole_plant_conductivity_log","leaf_specific_transpiration","leaf_specific_transpiration_log","leaf_specific_conductance","leaf_specific_conductance_log","leaf_specific_conductivity","leaf_specific_conductivity_log","whole_plant_leaf_area_cm2","whole_plant_leaf_area_log","leaves_biomass","leaves_biomass_log"
"DLST1W","LST","1W","D","ambient","R-","3",-2.25,0.810930216216329,-1.5928945,0.465552801490597,120,4.78749174278205,0.0764270297458938,-2.57141885289395,1.68139465440966,0.519623600464368,0.0586712540384633,-2.83580538183163,3.73672473135544e-05,-10.1947159775076,0.000822079440898197,-7.10367352414931,2045.29461601982,7.62329712461368,9.139,2.21255097029006
"DLST2D","LST","2D","D","ambient","R-","1",-1.6,0.470003629245736,-1.0068066,0.00678353968065982,103.846153846154,4.64291051397094,0.0656581915687214,-2.72329290964679,2.49501127961141,0.9142932500796,0.0332539180682173,-3.40358268218435,2.10252574801011e-05,-10.7697861058021,0.000798959784243841,-7.13219994607569,3122.82461372291,8.04649319615529,14.7954461538462,2.69431944111539
"DLST2D","LST","2D","D","ambient","R-","2",-1.25,0.22314355131421,-1.45914,0.377847221071492,93.3333333333333,4.53617731450114,0.0850155868589571,-2.46492066449167,3.23059230064037,1.17266549523472,0.0287525047488408,-3.54903039383484,2.61901185523677e-05,-10.5501283728276,0.000995224504989973,-6.91254221310126,3246.09400636987,8.08520770833598,15.3794769230769,2.73303395329608
"DLST2D","LST","2D","D","ambient","R-","3",-6.7,1.90210752639692,-5.3355886,1.67439920669052,25,3.2188758248682,0.00769895697822933,-4.86667041667049,0.292560365172714,-1.22908425694411,0.0093603621229056,-4.6712713008964,2.8826010113959e-06,-12.7568175424351,0.000109538838433044,-9.1192313827087,2670.83684068407,7.8901471257646,12.654,2.53797337072469
"DLST2W","LST","2W","D","ambient","R-","1",-1.32,0.27763173659828,-0.9678962,-0.0326304288602169,126.923076923077,4.84358120943309,0.0971042700682434,-2.33196992866574,4.85521350341217,1.5800530767624,0.017193770779999,-4.06320812471348,1.31543341194318e-05,-11.2387592628123,0.000657716705971588,-7.32673625738417,7381.92212441979,8.90678933414657,21.4261363636364,3.06461150222021
"DLST2W","LST","2W","D","ambient","R-","2",-1.55,0.438254930931155,-1.5418246,0.432966520292571,142,4.95582705760126,0.0963869662425164,-2.3393842914598,4.81934831212582,1.57263871396835,0.0182621984234051,-4.00292201547602,1.23960415700767e-05,-11.2981333645371,0.000619802078503833,-7.38611035910894,7775.62463772218,8.95874907307728,22.5688636363636,3.11657124115091
"DLST2W","LST","2W","D","ambient","R-","3",-3.97,1.3787660946991,-3.6746009,1.30144452812809,38,3.63758615972639,0.0180566421945153,-4.01424167327865,0.902832109725767,-0.102218667850498,0.00877450698896642,-4.73590469480214,4.16942455613265e-06,-12.3877325278072,0.000208471227806633,-8.47570952237902,4330.72764632628,8.37349085452852,12.57,2.53131302260216
"DLST3D","LST","3D","D","ambient","R-","1",-1.6,0.470003629245736,-1.0092385,0.00919608608604367,88.4615384615385,4.48256786389576,0.0557310986192839,-2.88721696434748,2.00631955029422,0.696301974108627,0.0382118513050106,-3.26460956789853,2.40736086048387e-05,-10.6343943961418,0.000866649909774192,-7.05087545768566,2315.02885728907,7.74717743179429,11.2629152542373,2.42151549277527
"DLST3D","LST","3D","D","ambient","R-","2",-1.34,0.29266961396282,-1.5393927,0.431387987999522,84.6666666666667,4.43872197835043,0.0672503679636909,-2.69933278893611,2.42101324669287,0.884186149519998,0.0320636653269219,-3.44003181123258,2.54680310019701e-05,-10.5780865785191,0.000916849116070924,-6.99456764006301,2640.57979034534,7.87875378958301,12.8467627118644,2.55309185056399
"DLST3D","LST","3D","D","ambient","R-","3",-5.04,1.61740608208328,-4.7227498,1.55239121470662,24,3.17805383034795,0.0100922477405262,-4.59598770029553,0.363320918658944,-1.01246876183942,0.0112456042278328,-4.48777796199239,4.72889266079989e-06,-12.2618194926359,0.000170240135788796,-8.67830055417976,2134.16722781336,7.66583179234034,10.383,2.34016985332132
