"plant","species","co2","greenhouse","plant_no","resprouter","SLA","total_aboveground_biomass","total_belowground_biomass","root_shoot_ratio","leaves_biomass","stems_biomass","total_aboveground_biomass_log","total_belowground_biomass_log","root_shoot_ratio_log","leaves_biomass_log","stems_biomass_log","percentage_biomass_change_1_2","percentage_biomass_change_2_3"
"ADPE1W","DPE","elevated","A","1W","R+",15.8387096774194,85.162,21.583,0.25343463,3.39,81.772,4.44455532495383,3.07190596777683,-1.37264935902752,1.22082992139236,4.40393488672276,58.5365853658536,-55.3846153846154
"ADPE2W","DPE","elevated","A","2W","R+",25.504048582996,58.621,16.093,0.274526194,12.772,45.849,4.07109299416147,2.77838439483636,-1.29270859817716,2.54725527485254,3.82535338821381,103.488372093023,32.5714285714286
"ADPE3D","DPE","elevated","A","3D","R+",19.3529411764706,72.592,17.061,0.235025898,15.288,57.304,4.28485472292161,2.83679515699277,-1.4480595666547,2.72706820693797,4.04837042931215,133.333333333333,-21.0526315789474
"ADPE3W","DPE","elevated","A","3W","R+",21.5818181818182,49.094,15.438,0.314457979,5.129,43.965,3.89373682774083,2.73683200252766,-1.1569048238512,1.63491070840713,3.78339386283097,17.9775280898876,-27.6190476190476
"ADPE4W","DPE","elevated","A","4W","R+",17.3466981132075,39.893,11.031,0.276514677,6.605,33.288,3.68620086990818,2.40070949098724,-1.28549137805419,1.88782693797429,3.50519697168064,-0.934579439252319,-88.6792452830189
"ALST1D","LST","elevated","A","1D","R-",21.2053838484546,15.473,6.57,0.424610612,8.336,7.137,2.73909656950754,1.88251383249652,-0.856582737090773,2.12058348501101,1.96529251998893,36.8421052631579,9.61538461538463
"ALST2D","LST","elevated","A","2D","R-",26.2352587244284,14.937,6.397,0.428265381,6.845,8.092,2.70384135632816,1.855829130468,-0.848012226485917,1.92351845874041,2.0908759193055,102.439024390244,39.7590361445783
"ALST2W","LST","elevated","A","2W","R-",18.9103848181339,36.495,10.903,0.298753254,17.703,18.792,3.5971752649036,2.38903798072424,-1.20813728374553,2.87373411674314,2.93343124735661,52.6315789473684,-36.2068965517241
"ALST3W","LST","elevated","A","3W","R-",22.1346051934287,14.884,6.175,0.414875034,7.558,7.326,2.70028681048438,1.82050888251404,-0.879777926989606,2.0226066049273,1.99142966435662,37.9310344827586,7.5
"ASRO1W","SRO","elevated","A","1W","R-",9.66598436918496,138.31,25.201,0.182206637,58.155,80.155,4.92949754263662,3.22688367626973,-1.70261386781643,4.063111859791,4.38396226014164,47.5409836065574,14.4444444444445
"ASRO2W","SRO","elevated","A","2W","R-",8.95981036526236,73.536,12.136,0.165034813,36.454,37.082,4.29777508222629,2.49617624204623,-1.80159883945758,3.59605119180274,3.61313167667566,30.952380952381,34.5454545454546
"ASRO3W","SRO","elevated","A","3W","R-",10.0273689646269,54.807,5.925,0.108106629,24.937,29.87,4.00381792302254,1.77918068702119,-2.22463723336793,3.21635264432376,3.39685463222802,-10.5882352941177,39.4736842105263
"ASRO4W","SRO","elevated","A","4W","R-",10.802102950408,52.523,12.873,0.245092626,22.032,30.491,3.96125116889997,2.5551320946775,-1.40611907457997,3.0924959419863,3.4174315581009,100,9.52380952380954
"ASRO5W","SRO","elevated","A","5W","R-",11.848817696415,103.497,12.357,0.119394765,47.981,55.516,4.63954262677809,2.51422270412205,-2.12531992320593,3.87080509921186,4.01667126749359,82.5,12.3287671232877
"BACY1W","ACY","elevated","B","1W","R+",22.242831215971,50.307,13.824,0.274792772,8.575,41.732,3.91814423243308,2.6264062120617,-1.29173802174551,2.148850993052,3.73126822060572,47.0588235294118,-40
"BACY2W","ACY","elevated","B","2W","R+",24.3310986591955,102.471,20.19,0.197031355,16.969,85.502,4.62957983171785,3.00518743232475,-1.6243924004726,2.83138814999069,4.448539767482,69.2307692307692,-31.8181818181818
"BACY3W","ACY","elevated","B","3W","R+",16.1959784332382,112.966,35.659,0.315661349,8.889,104.077,4.72708688848163,3.574001569417,-1.15308532043499,2.18481455725954,4.64513100980728,,
"BACY5W","ACY","elevated","B","5W","R+",21.7433962264151,106.105,22.071,0.208010933,28.552,77.553,4.66442916986301,3.09426452961824,-1.57016463816218,3.35172698618786,4.35096157359385,2.94117647058824,-28.5714285714286
"BACY6W","ACY","elevated","B","6W","R+",16.7964215792908,79.844,26.58,0.332899153,9.664,70.18,4.38007473094864,3.2801590532851,-1.09991567871199,2.26840764119246,4.25106337015507,20,-85.7142857142857
"BCAL1W","CAL","elevated","B","1W","R-",28.5881361981583,48.012,10.75,0.223902358,19.879,28.133,3.8714509796631,2.37490575457367,-1.49654522394561,2.98966389815238,3.33694326452238,14.8148148148148,-41.9354838709677
"BCAL3W","CAL","elevated","B","3W","R-",17.9966064523576,62.854,12.615,0.200703217,30.081,32.773,4.14081457660695,2.53488658209302,-1.60592799440945,3.4038937432099,3.48960500566732,475,-17.3913043478261
"BCAL4W","CAL","elevated","B","4W","R-",16.711664628044,111.241,19.15,0.172148758,55.946,55.295,4.71169901889745,2.95230271562665,-1.75939630386203,4.0243869397983,4.01268248852732,266.666666666667,15.1515151515151
"BCAL5W","CAL","elevated","B","5W","R-",16.2138072453862,63.487,13.144,0.207034511,25.597,37.89,4.15083516053029,2.57596538073497,-1.57486977980621,3.24247515711853,3.63468722503051,75,-7.14285714285713
"BCAL6W","CAL","elevated","B","6W","R-",18.3280501290085,60.721,20.007,0.329490621,26.611,34.11,4.10628960198997,2.99608221231828,-1.1102073897846,3.28132466414069,3.52959059643055,258.333333333333,-30.2325581395349
"BDPE1W","DPE","elevated","B","1W","R+",15.3024390243902,,10.723,,,38.725,,2.37239096723801,,,3.65648538630293,,
"BDPE2W","DPE","elevated","B","2W","R+",20.5287356321839,91.513,22.378,0.244533564,20.673,70.84,4.5164810386923,3.10807833338553,-1.40840270341509,3.02882850104318,4.26042381291463,15.3846153846154,-8
"BDPE3D","DPE","elevated","B","3D","R+",18.5777542372881,29.13,9.106,0.312598696,6.481,22.649,3.37176857097134,2.20893353691259,-1.16283503246859,1.86887481944558,3.12011570084402,-15.2542372881356,-74
"BDPE3W","DPE","elevated","B","3W","R+",27.8661417322835,23.206,5.909,0.254632423,6.164,17.042,3.14441086592535,1.77647661236354,-1.3679342521846,1.81872591745787,2.83568088540576,86.4864864864865,8.69565217391303
"BDPE4D","DPE","elevated","B","4D","R+",20.6286472148541,17.866,6.712,0.37568566,4.196,13.67,2.88289946527965,1.9038969691649,-0.979002495882323,1.43413169053405,2.61520365073586,18.8235294117647,-20.7920792079208
"BDPE4W","DPE","elevated","B","4W","R+",21.9853300733496,47.706,8.968,0.18798474,3.582,44.124,3.8650571761474,2.19366268576986,-1.67139448965943,1.27592130363852,3.78700385210714,,
