greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,plant_height,large_leaves_count,small_leaves_count,total_leaves_count_marked,flowers_count
D,DPE,1D,DDPE1D,10/2/20,1,15,19,ambient,R+,40,173,0,173,
E,ACY,1W,EACY1W,14/02/2020,1,19,23,ambient,R+,68,22,33,55,
E,ACY,2W,EACY2W,14/02/2020,1,19,23,ambient,R+,98,15,18,33,
E,ACY,3W,EACY3W,14/02/2020,1,19,23,ambient,R+,68,15,31,46,
E,ACY,5W,EACY5W,14/02/2020,1,19,23,ambient,R+,62,18,34,52,
E,CAL,1W,ECAL1W,13/02/2020,1,18,22,ambient,R-,57,12,0,12,
E,CAL,2W,ECAL2W,13/02/2020,1,18,22,ambient,R-,63,12,4,16,
E,CAL,3W,ECAL3W,13/02/2020,1,18,22,ambient,R-,48,14,4,18,
E,CAL,4W,ECAL4W,13/02/2020,1,18,22,ambient,R-,50,13,2,15,
E,CAL,5W,ECAL5W,13/02/2020,1,18,22,ambient,R-,57,14,0,14,
E,ROF,1W,EROF1W,12/2/20,1,17,21,ambient,R-,37,22,5,27,
E,ROF,2W,EROF2W,12/2/20,1,17,21,ambient,R-,39,30,21,51,
E,ROF,3W,EROF3W,12/2/20,1,17,21,ambient,R-,40,18,0,18,
E,ROF,4W,EROF4W,12/2/20,1,17,21,ambient,R-,60,18,11,29,
E,ROF,5W,EROF5W,12/2/20,1,17,21,ambient,R-,55,23,39,62,
E,LST,1W,ELST1W,11/2/20,1,16,20,ambient,R-,49,16,0,16,
E,LST,4W,ELST4W,11/2/20,1,16,20,ambient,R-,40,22,0,22,
E,LST,1D,ELST1D,11/2/20,1,16,20,ambient,R-,45,41,0,41,
E,DPE,1W,EDPE1W,10/2/20,1,15,19,ambient,R+,30,53,0,53,
E,DPE,2W,EDPE2W,10/2/20,1,15,19,ambient,R+,45,119,0,119,
E,DPE,3W,EDPE3W,10/2/20,1,15,19,ambient,R+,35,60,0,60,
E,DPE,4W,EDPE4W,10/2/20,1,15,19,ambient,R+,40,101,0,101,
E,DPE,5W,EDPE5W,10/2/20,1,15,19,ambient,R+,50,121,0,121,
F,ACY,1W,FACY1W,14/02/2020,1,19,23,ambient,R+,62,12,18,30,
F,ACY,2W,FACY2W,14/02/2020,1,19,23,ambient,R+,64,12,10,22,
F,ACY,3W,FACY3W,14/02/2020,1,19,23,ambient,R+,46,5,15,20,
F,ACY,4W,FACY4W,14/02/2020,1,19,23,ambient,R+,43,11,17,28,
F,ACY,2D,FACY2D,14/02/2020,1,19,23,ambient,R+,54,13,17,30,
F,CAL,1W,FCAL1W,13/02/2020,1,18,22,ambient,R-,66,14,16,30,
F,CAL,2W,FCAL2W,13/02/2020,1,18,22,ambient,R-,70,10,4,14,
F,CAL,3W,FCAL3W,13/02/2020,1,18,22,ambient,R-,62,10,0,10,
F,CAL,4W,FCAL4W,13/02/2020,1,18,22,ambient,R-,70,7,4,11,
F,CAL,1D,FCAL1D,13/02/2020,1,18,22,ambient,R-,57,12,0,12,
F,ROF,1W,FROF1W,12/2/20,1,17,21,ambient,R-,53,28,46,74,
F,ROF,2W,FROF2W,12/2/20,1,17,21,ambient,R-,65,28,34,62,
F,ROF,3W,FROF3W,12/2/20,1,17,21,ambient,R-,55,31,14,45,
F,ROF,4W,FROF4W,12/2/20,1,17,21,ambient,R-,43,19,34,53,
F,ROF,5W,FROF5W,12/2/20,1,17,21,ambient,R-,60,26,24,50,
F,LST,1D,FLST1D,11/2/20,1,16,20,ambient,R-,47,31,0,31,
F,LST,2DG,FLST2DG,11/2/20,1,16,20,ambient,R-,48,33,71,104,
F,LST,5D,FLST5D,11/2/20,1,16,20,ambient,R-,40,28,48,76,
F,LST,4D,FLST4D,11/2/20,1,16,20,ambient,R-,35,47,7,54,
F,DPE,1W,FDPE1W,10/2/20,1,15,19,ambient,R+,45,64,0,64,
F,DPE,3W,FDPE3W,10/2/20,1,15,19,ambient,R+,45,118,0,118,
F,DPE,1D,FDPE1D,10/2/20,1,15,19,ambient,R+,36,80,0,80,
F,DPE,3D,FDPE3D,10/2/20,1,15,19,ambient,R+,40,74,0,74,
A,ACY,1W,AACY1W,9/3/20,2,15,47,elevated,R+,,11,30,41,
A,ACY,2W,AACY2W,9/3/20,2,15,47,elevated,R+,,9,15,24,
