greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,water_potential_bar,water_potential_mpa,osmotic_potential_mmol.kg-1,osmotic_potential_mpa,obs
A,LST,3W,ALST3W,13/03/2020,2,19,51,elevated,R-,20.2,-2.02,708,-1.7217852,
A,LST,1D,ALST1D,13/03/2020,2,19,51,elevated,R-,15.4,-1.54,578,-1.4056382,
A,LST,2D,ALST2D,13/03/2020,2,19,51,elevated,R-,14.9,-1.49,551,-1.3399769,
A,DPE,1W,ADPE1W,11/03/2020,2,13,49,elevated,R+,21.4,-2.14,640,-1.556416,osm ptn. leaves recollected 14:45
A,DPE,2W,ADPE2W,11/03/2020,2,13,49,elevated,R+,18.8,-1.88,688,-1.6731472,
A,DPE,3W,ADPE3W,11/03/2020,2,13,49,elevated,R+,20.3,-2.03,,,not enough sap
A,DPE,4W,ADPE4W,11/03/2020,2,13,49,elevated,R+,18.2,-1.82,655,-1.5928945,
A,DPE,3D,ADPE3D,11/03/2020,2,13,49,elevated,R+,18.7,-1.87,687,-1.6707153,
B,ACY,1W,BACY1W,09/03/2020,2,15,47,elevated,R+,21.4,-2.14,567,-1.3788873,
B,ACY,2W,BACY2W,09/03/2020,2,15,47,elevated,R+,21.8,-2.18,821,-1.9965899,
B,ACY,3W,BACY3W,09/03/2020,2,15,47,elevated,R+,23.8,-2.38,827,-2.0111813,
B,ACY,5W,BACY5W,09/03/2020,2,15,47,elevated,R+,20.3,-2.03,769,-1.8701311,
B,ACY,6W,BACY6W,09/03/2020,2,15,47,elevated,R+,24.7,-2.47,923,-2.2446437,
B,CAL,1W,BCAL1W,12/03/2020,2,18,50,elevated,R-,18.6,-1.86,664,-1.6147816,
B,CAL,3W,BCAL3W,12/03/2020,2,18,50,elevated,R-,16,-1.6,598,-1.4542762,
