"greenhouse","species","plant_no","date","drought_phase","phase_day","total_day","start_pot_weight_kg","water.added.l","result_pot_weight_kg","water_lost_kg","days_since_water","water_lost_per_day_kg","start_swc_estimate","result_swc_estimate","plant","resprouter","co2","swc_diff","start_swc_standardized","result_swc_standardized","transpiration_g_day"
"F","CAL","3W",2020-03-28,"3",1,66,7,0,7,-0.2,3,-0.07,19.0677966101695,19.0677966101695,"FCAL3W","R-","ambient",10.2061499973729,8.8616466127966,8.8616466127966,70
"F","CAL","3W",2020-04-01,"3",5,70,6.9,0.1,7,-0.0999999999999996,4,-0.02,16.9491525423729,19.0677966101695,"FCAL3W","R-","ambient",10.2061499973729,6.743002545,8.8616466127966,20
"F","CAL","3W",2020-04-03,"3",7,72,6.9,0.2,7.1,-0.0999999999999996,2,-0.05,16.9491525423729,21.1864406779661,"FCAL3W","R-","ambient",10.2061499973729,6.743002545,10.9802906805932,50
"F","CAL","3W",2020-04-06,"3",10,75,7,0,7,-0.0999999999999996,3,-0.03,19.0677966101695,19.0677966101695,"FCAL3W","R-","ambient",10.2061499973729,8.8616466127966,8.8616466127966,30
"F","CAL","3W",2020-03-02,"2",8,40,7.7,0.3,8,-0.3,3,-0.1,33.8983050847458,40.2542372881356,"FCAL3W","R-","ambient",10.2061499973729,23.6921550873729,30.0480872907627,100
"F","CAL","3W",2020-03-03,"2",9,41,7.7,0.3,8,-0.3,1,-0.3,33.8983050847458,40.2542372881356,"FCAL3W","R-","ambient",10.2061499973729,23.6921550873729,30.0480872907627,300
"F","CAL","3W",2020-03-04,"2",10,42,7.8,0.2,8,-0.2,1,-0.2,36.0169491525424,40.2542372881356,"FCAL3W","R-","ambient",10.2061499973729,25.8107991551695,30.0480872907627,200
"F","CAL","3W",2020-03-05,"2",11,43,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"FCAL3W","R-","ambient",10.2061499973729,27.9294432229661,30.0480872907627,100
"F","CAL","3W",2020-03-06,"2",12,44,7.8,0.6,8.4,-0.2,1,-0.2,36.0169491525424,48.7288135593221,"FCAL3W","R-","ambient",10.2061499973729,25.8107991551695,38.5226635619492,200
"F","CAL","3W",2020-03-09,"2",15,47,7.9,0.1,8,-0.5,3,-0.17,38.135593220339,40.2542372881356,"FCAL3W","R-","ambient",10.2061499973729,27.9294432229661,30.0480872907627,170
"F","CAL","3W",2020-03-10,"2",16,48,7.8,0.2,8,-0.2,1,-0.2,36.0169491525424,40.2542372881356,"FCAL3W","R-","ambient",10.2061499973729,25.8107991551695,30.0480872907627,200
"F","CAL","3W",2020-01-27,"1",1,5,9.6,0,9.6,-0.5,3,-0.17,74.1525423728814,74.1525423728814,"FCAL3W","R-","ambient",10.2061499973729,63.9463923755085,63.9463923755085,170
"F","CAL","3W",2020-01-28,"1",2,6,9.4,0,9.4,-0.199999999999999,1,-0.2,69.9152542372882,69.9152542372882,"FCAL3W","R-","ambient",10.2061499973729,59.7091042399153,59.7091042399153,200
"F","CAL","3W",2020-01-29,"1",3,7,9.4,0,9.4,0,1,0,69.9152542372882,69.9152542372882,"FCAL3W","R-","ambient",10.2061499973729,59.7091042399153,59.7091042399153,0
"F","CAL","3W",2020-01-30,"1",4,8,9.2,0,9.2,-0.200000000000001,1,-0.2,65.6779661016949,65.6779661016949,"FCAL3W","R-","ambient",10.2061499973729,55.471816104322,55.471816104322,200
"F","CAL","3W",2020-01-31,"1",5,9,9,0,9,-0.199999999999999,1,-0.2,61.4406779661017,61.4406779661017,"FCAL3W","R-","ambient",10.2061499973729,51.2345279687288,51.2345279687288,200
"F","CAL","3W",2020-02-03,"1",8,12,8.8,0.2,9,-0.199999999999999,3,-0.07,57.2033898305085,61.4406779661017,"FCAL3W","R-","ambient",10.2061499973729,46.9972398331356,51.2345279687288,70
"F","CAL","3W",2020-02-04,"1",9,13,8.8,0.2,9,-0.199999999999999,1,-0.2,57.2033898305085,61.4406779661017,"FCAL3W","R-","ambient",10.2061499973729,46.9972398331356,51.2345279687288,200
"F","CAL","3W",2020-04-08,"3",12,77,7,0,7,0,2,0,19.0677966101695,19.0677966101695,"FCAL3W","R-","ambient",10.2061499973729,8.8616466127966,8.8616466127966,0
"F","CAL","3W",2020-04-09,"3",13,78,6.9,0.1,7,-0.0999999999999996,1,-0.1,16.9491525423729,19.0677966101695,"FCAL3W","R-","ambient",10.2061499973729,6.743002545,8.8616466127966,100
"F","CAL","3W",2020-04-10,"3",14,79,7,0,7,0,1,0,19.0677966101695,19.0677966101695,"FCAL3W","R-","ambient",10.2061499973729,8.8616466127966,8.8616466127966,0
"F","CAL","3W",2020-04-11,"3",15,80,6.9,0,6.9,-0.0999999999999996,1,-0.1,16.9491525423729,16.9491525423729,"FCAL3W","R-","ambient",10.2061499973729,6.743002545,6.743002545,100
"F","CAL","4W",2020-02-24,"2",1,33,7.9,0.1,8,-0.4,3,-0.13,38.135593220339,40.2542372881356,"FCAL4W","R-","ambient",10.6751448603729,27.4604483599661,29.5790924277627,130
"F","CAL","4W",2020-02-25,"2",2,34,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"FCAL4W","R-","ambient",10.6751448603729,27.4604483599661,29.5790924277627,100
"F","CAL","4W",2020-02-26,"2",3,35,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"FCAL4W","R-","ambient",10.6751448603729,27.4604483599661,29.5790924277627,100
"F","CAL","4W",2020-02-27,"2",4,36,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"FCAL4W","R-","ambient",10.6751448603729,27.4604483599661,29.5790924277627,100
"F","CAL","4W",2020-02-28,"2",5,37,8,0,8,0,1,0,40.2542372881356,40.2542372881356,"FCAL4W","R-","ambient",10.6751448603729,29.5790924277627,29.5790924277627,0
"F","CAL","4W",2020-03-02,"2",8,40,7.7,0.3,8,-0.3,3,-0.1,33.8983050847458,40.2542372881356,"FCAL4W","R-","ambient",10.6751448603729,23.2231602243729,29.5790924277627,100
"F","CAL","4W",2020-03-03,"2",9,41,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"FCAL4W","R-","ambient",10.6751448603729,27.4604483599661,29.5790924277627,100
"F","CAL","4W",2020-03-04,"2",10,42,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"FCAL4W","R-","ambient",10.6751448603729,27.4604483599661,29.5790924277627,100
"F","CAL","4W",2020-03-05,"2",11,43,7.8,0.2,8,-0.2,1,-0.2,36.0169491525424,40.2542372881356,"FCAL4W","R-","ambient",10.6751448603729,25.3418042921695,29.5790924277627,200
"F","CAL","4W",2020-02-10,"1",15,19,8.9,0.1,9,-0.0999999999999996,1,-0.1,59.3220338983051,61.4406779661017,"FCAL4W","R-","ambient",10.6751448603729,48.6468890379322,50.7655331057288,100
"F","CAL","4W",2020-02-11,"1",16,20,8.9,0.1,9,-0.0999999999999996,1,-0.1,59.3220338983051,61.4406779661017,"FCAL4W","R-","ambient",10.6751448603729,48.6468890379322,50.7655331057288,100
"F","CAL","4W",2020-02-12,"1",17,21,8.8,0.2,9,-0.199999999999999,1,-0.2,57.2033898305085,61.4406779661017,"FCAL4W","R-","ambient",10.6751448603729,46.5282449701356,50.7655331057288,200
"F","CAL","4W",2020-02-13,"1",18,22,8.9,0.1,9,-0.0999999999999996,1,-0.1,59.3220338983051,61.4406779661017,"FCAL4W","R-","ambient",10.6751448603729,48.6468890379322,50.7655331057288,100
"F","CAL","4W",2020-03-12,"2",18,50,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"FCAL4W","R-","ambient",10.6751448603729,27.4604483599661,29.5790924277627,100
"F","CAL","4W",2020-03-28,"3",1,66,7.1,0,7.1,-0.100000000000001,3,-0.03,21.1864406779661,21.1864406779661,"FCAL4W","R-","ambient",10.6751448603729,10.5112958175932,10.5112958175932,30
"F","CAL","4W",2020-04-01,"3",5,70,7,0,7,-0.0999999999999996,4,-0.02,19.0677966101695,19.0677966101695,"FCAL4W","R-","ambient",10.6751448603729,8.3926517497966,8.3926517497966,20
"F","CAL","4W",2020-04-03,"3",7,72,6.9,0.2,7.1,-0.0999999999999996,2,-0.05,16.9491525423729,21.1864406779661,"FCAL4W","R-","ambient",10.6751448603729,6.274007682,10.5112958175932,50
"F","CAL","4W",2020-04-06,"3",10,75,7,0,7,-0.0999999999999996,3,-0.03,19.0677966101695,19.0677966101695,"FCAL4W","R-","ambient",10.6751448603729,8.3926517497966,8.3926517497966,30
"F","CAL","4W",2020-04-08,"3",12,77,7,0,7,0,2,0,19.0677966101695,19.0677966101695,"FCAL4W","R-","ambient",10.6751448603729,8.3926517497966,8.3926517497966,0
"F","CAL","4W",2020-04-09,"3",13,78,6.9,0.1,7,-0.0999999999999996,1,-0.1,16.9491525423729,19.0677966101695,"FCAL4W","R-","ambient",10.6751448603729,6.274007682,8.3926517497966,100
"F","CAL","4W",2020-04-10,"3",14,79,7,0,7,0,1,0,19.0677966101695,19.0677966101695,"FCAL4W","R-","ambient",10.6751448603729,8.3926517497966,8.3926517497966,0
