greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,length_main_root_cm,diameter_top_mainroot_mm,fresh_weight_soil_bucketplus2.12kg,fresh_weight_allpotsoil_g,estim_dryweight_allpot_g,pot_bulk_density_g/cm3,soil_freshweight_1liter,soil_dryweight_1liter,grav_swc_perc,grav_swc (g/g),bulk_density_ (g/cm3) ,vol_swc_perc,vol_swc(cm3/cm3),ysoil_bc(kpa),total_leaves_dryweight_bag,total_stem_dryweight_bag,main_roots_dryweight_bag,fine_roots_dryweight_bag,observations..a...or.2.circled.next.to.the.number.means.2.bags..M.means.brown.bag..maron...N.new.bag.larger,"normal:2.975,2x normal.white.bag:5.950g,N.white.bag.new.larger:7.051.g.M.brown.bag.large:20.546g",bag_weight_leaves,bag_weight_stem,bag_weight_mainroots,bag_weight_fineroots,leaves_biomass,stems_biomass,main_roots_biomass,fine_roots_biomass,total_aboveground_biomass,total_belowground_biomass,root_shoot_ratio
B,LST,2W,BLST2W,13/04/2020,3,17,82,elevated,R-,26,7.96,7.8,5680,5205.45,0.521,843,778,8.354755784,0.083547558,0.778,6.5,0.065,-1353.207881,15.803,17.911,7.663,7.109,,,2.975,2.975,2.975,2.975,12.828,14.936,4.688,4.134,27.764,8.822,0.317749604
B,LST,4W,BLST4W,13/04/2020,3,17,82,elevated,R-,32,5.1,8.2,6080,5546.818,0.555,769,707,8.769448373,0.087694484,0.707,6.2,0.062,-1582.682663,23.355,32.64,8.705,7.6,,,2.975,2.975,2.975,2.975,20.38,29.665,5.73,4.625,50.045,10.355,0.206913778
B,LST,1D,BLST1D,13/04/2020,3,17,82,elevated,R-,40,6.55,7.7,5580,5326.075,0.533,919,879,4.550625711,0.045506257,0.879,4,0.04,-6766.17809,19.645,25.077,8.791,10.464,fine roots N,,2.975,2.975,2.975,7.051,16.67,22.102,5.816,3.413,38.772,9.229,0.238032601
B,DPE,1W,BDPE1W,12/4/20,3,16,81,elevated,R+,58,7.22,7.9,5780,5517.604,0.552,829,793,4.539722573,0.045397226,0.793,3.6,0.036,-9594.658149,,44.675,10.189,6.484,,2 bags stems,2.975,5.95,2.975,2.975,,38.725,7.214,3.509,35.75,10.723,0.299944056
B,DPE,2W,BDPE2W,12/4/20,3,16,81,elevated,R+,62,10.06,7.2,5080,4396.026,0.44,868,765,13.46405229,0.134640523,0.765,10.3,0.103,-294.1825417,23.648,73.815,14.897,13.431,,,2.975,2.975,2.975,2.975,20.673,70.84,11.922,10.456,91.513,22.378,0.244533564
B,DPE,3W,BDPE3W,12/4/20,3,16,81,elevated,R+,43,4.08,7.6,5480,5110.71,0.511,887,831,6.738868833,0.067388688,0.831,5.6,0.056,-2217.833741,9.139,20.017,6.455,5.404,,,2.975,2.975,2.975,2.975,6.164,17.042,3.48,2.429,23.206,5.909,0.254632423
B,DPE,4W,BDPE4W,12/4/20,3,16,81,elevated,R+,60,6.3,7.9,5780,5174.967,0.517,992,898,10.46770601,0.10467706,0.898,9.4,0.094,-398.33958,6.557,47.099,8.215,6.703,,,2.975,2.975,2.975,2.975,3.582,44.124,5.24,3.728,47.706,8.968,0.18798474
B,DPE,3D,BDPE3D,12/4/20,3,16,81,elevated,R+,58,6.76,8,5880,5080.906,0.508,1003,883,13.59003398,0.13590034,0.883,12,0.12,-177.2909083,9.456,25.624,8.125,6.931,,,2.975,2.975,2.975,2.975,6.481,22.649,5.15,3.956,29.13,9.106,0.312598696
B,DPE,4D,BDPE4D,12/4/20,3,16,81,elevated,R+,52,3.68,8,5880,5274.604,0.527,932,845,10.29585799,0.10295858,0.845,8.7,0.087,-514.8325218,7.171,19.62,6.994,5.668,,2 bags stems,2.975,5.95,2.975,2.975,4.196,13.67,4.019,2.693,17.866,6.712,0.37568566
C,ACY,1W,CACY1W,10/4/20,3,14,79,elevated,R+,90,8.29,7.7,5580,5118.661,0.512,825,762,8.267716535,0.082677165,0.762,6.3,0.063,-1500.922867,15.153,40.7,16.4,7.128,,,2.975,2.975,2.975,2.975,12.178,37.725,13.425,4.153,49.903,17.578,0.352243352
